Name,Rating,Number of Reviews,Latitude,Longitude,Category,Sub-Category
VIVA - Your Family Chemist,5.0,(1),30.707454,76.759331,Shop,Pharmacy
Sai Medicos,3.7,(3),30.710997,76.7537,Shop,Pharmacy
Singla Store Best Pharmacy/medical/chemists store in chandigarh sector 45,4.8,(4),30.704855,76.759784,Shop,Convenience Store
K.D HARDWARE STORE,4.8,(117),30.709681,76.762058,Shop,Hardware Store
Mohinder Ki Dukaan | Hardware - Sanutary - Paints |,4.1,(175),30.711389,76.752867,Shop,Hardware Store
Singh Hardware Sanitary & Electrical Store,4.1,(13),30.706505,76.757598,Shop,Hardware Store
Krishna Hardware,4.4,(54),30.705535,76.763212,Shop,Hardware Store
Vikas Sales,4.7,(132),30.706716,76.764001,Shop,Hardware Store
Bata Shoe Store,3.4,(37),N/A,N/A,Shop,Shoe Store
Relaxo Footwear,3.4,(10),30.700387,76.765081,Shop,Shoe Store
Singla shoes sector 45,4.3,(15),30.705652,76.758915,Shop,Shoe Store
Shri Ram Footwear-Whole sell Shoe Shop,5.0,(8),30.70388,76.75764,Shop,Shoe Store
Kewal Footwear,N/A,N/A,30.709385,76.760755,Shop,Shoe Store
Apollo Pharmacy Chandigarh Sec 34,3.9,(38),30.724412,76.76886,Shop,Pharmacy
Indus Pharmacy,3.9,(44),30.708909,76.722489,Shop,Pharmacy
Apollo Pharmacy Mohali 7 Phase,3.7,(17),N/A,N/A,Shop,Pharmacy
Noble Pharmacy,4.1,(26),30.709179,76.774319,Shop,Pharmacy
Dayal Pharmacy,5.0,(40),30.710862,76.753501,Shop,Pharmacy
24SEVEN,3.6,(87),30.720602,76.758512,Shop,Convenience Store
24SEVEN,2.9,(15),30.716274,76.773186,Shop,Convenience Store
Chirag Departmental Store,3.4,(32),30.713826,76.768798,Shop,Convenience Store
Bansal Namkeen & sweets,4.0,(30),30.709526,76.773899,Shop,Convenience Store
Singla Store Best Pharmacy/medical/chemists store in chandigarh sector 45,4.8,(4),30.704855,76.759784,Shop,Convenience Store
K.D HARDWARE STORE,4.8,(117),30.709681,76.762058,Shop,Hardware Store
Mohinder Ki Dukaan | Hardware - Sanutary - Paints |,4.1,(175),30.711389,76.752867,Shop,Hardware Store
Shri Maa Mansa Traders | Ozone Dealer,4.4,(9),30.706829,76.764037,Shop,Hardware Store
Vikas Sales,4.7,(132),30.706716,76.764001,Shop,Hardware Store
Ess Hardware Store,N/A,N/A,30.7096,76.763839,Shop,Hardware Store
Bata Shoe Store,4.1,(8),30.713391,76.768805,Shop,Shoe Store
Shoe Mania,3.1,(7),30.718143,76.766522,Shop,Shoe Store
New Gagan Shoes Maker,4.1,(32),30.718262,76.766189,Shop,Shoe Store
Kewal Footwear,N/A,N/A,30.709385,76.760755,Shop,Shoe Store
Sonu Footwear,N/A,N/A,30.713383,76.768792,Shop,Shoe Store
Apollo Pharmacy Chandigarh Sec 34,3.9,(38),30.724412,76.76886,Shop,Pharmacy
Noble phramacy,3.4,(5),30.724584,76.760154,Shop,Pharmacy
COSMED,4.5,(11),30.717951,76.766725,Shop,Pharmacy
Arogya Medicos,4.5,(6),30.719221,76.75379,Shop,Pharmacy
CHOTTA DOCTOR PHARMACY,5.0,(2),30.724553,76.760207,Shop,Pharmacy
24SEVEN,3.6,(87),30.720602,76.758512,Shop,Convenience Store
Miniso,3.7,(58),30.721032,76.759301,Shop,Convenience Store
Jagat Singh & Sons Agencies,4.5,(310),30.728026,76.770355,Shop,Convenience Store
KIWI Kisan Window - Organic Grocery Store | Healthy Salads & Juices,4.7,(166),30.720274,76.77034,Shop,Convenience Store
Sitaram pan shop,N/A,N/A,30.728447,76.767412,Shop,Convenience Store
